ms,speed,elevation,temperature,cadence,power,distance,positionLat,positionLong
113.0,5.039,328.0,829.4,35.0,106.0,1072.71,44.55922,6.48479
114.0,5.207,294.0,829.6,35.0,107.0,1077.88,44.55925,6.48484
114.0,5.533,258.0,830.0,35.0,98.0,1083.28,44.55929,6.48489
114.0,4.992,159.0,830.4,35.0,82.0,1088.5,44.55931,6.48494
114.0,4.833,230.0,830.6,35.0,80.0,1093.4,44.55934,6.48499
115.0,4.759,268.0,831.0,35.0,80.0,1098.17,44.55936,6.48504
115.0,4.88,215.0,831.2,35.0,79.0,1102.99,44.55939,6.48509
115.0,4.973,258.0,831.4,35.0,79.0,1107.9,44.55941,6.48515
115.0,4.964,244.0,831.8,35.0,79.0,1112.9,44.55943,6.4852
114.0,5.039,257.0,832.0,35.0,79.0,1117.88,44.55946,6.48525
115.0,4.917,226.0,832.2,35.0,80.0,1122.81,44.55947,6.48531
114.0,4.955,183.0,832.6,35.0,79.0,1127.76,44.55949,6.48537
114.0,4.899,257.0,832.8,35.0,80.0,1132.72,44.55951,6.48542
113.0,4.927,251.0,833.2,35.0,81.0,1137.66,44.55954,6.48548
112.0,5.011,223.0,833.4,35.0,82.0,1142.76,44.55956,6.48553
111.0,5.048,148.0,833.4,35.0,81.0,1147.83,44.55957,6.48559
110.0,4.684,151.0,833.6,35.0,78.0,1152.75,44.55959,6.48565
109.0,4.665,167.0,833.6,35.0,78.0,1157.59,44.55961,6.4857
108.0,4.712,235.0,834.0,35.0,79.0,1162.43,44.55963,6.48576
107.0,4.917,230.0,834.2,35.0,81.0,1167.46,44.55964,6.48582
106.0,4.983,206.0,834.4,35.0,81.0,1172.74,44.55966,6.48588
106.0,5.281,274.0,834.4,35.0,84.0,1178.07,44.55967,6.48595
107.0,5.309,212.0,834.6,35.0,84.0,1183.64,44.55969,6.48601
107.0,5.113,145.0,834.8,35.0,86.0,1189.03,44.55971,6.48608
107.0,5.104,191.0,835.2,35.0,93.0,1194.34,44.55972,6.48614
107.0,5.048,240.0,835.4,35.0,93.0,1199.54,44.55974,6.4862
108.0,5.132,240.0,835.6,35.0,92.0,1204.83,44.55975,6.48627
108.0,5.225,289.0,836.0,35.0,95.0,1210.13,44.55976,6.48633
108.0,5.328,297.0,836.0,35.0,95.0,1215.6,44.55978,6.48639
107.0,5.365,303.0,836.4,35.0,99.0,1221.15,44.5598,6.48646
108.0,5.542,270.0,836.6,35.0,101.0,1226.83,44.55981,6.48653
108.0,5.598,242.0,836.6,35.0,101.0,1232.59,44.55983,6.4866
108.0,5.645,234.0,836.6,35.0,102.0,1238.42,44.55984,6.48667
109.0,5.701,221.0,836.8,35.0,103.0,1244.3,44.55986,6.48674
109.0,5.636,207.0,837.0,35.0,103.0,1250.08,44.55988,6.4868
109.0,5.486,214.0,837.2,35.0,101.0,1255.75,44.5599,6.48687
